Date,Policy #,Queue
"Friday, October 28, 2016",AT10258300,Docattach
"Friday, October 28, 2016",AT10259510,Docattach
"Tuesday, November 1, 2016",AU10002070,Docattach
"Tuesday, November 1, 2016",AT10281610,Docattach
"Tuesday, November 1, 2016",AT10282070,Docattach
"Tuesday, November 1, 2016",AT10283080,Docattach
"Tuesday, November 1, 2016",AT10284770,Docattach
"Tuesday, November 1, 2016",AT10270220,Docattach
"Wednesday, November 2, 2016",AT10283560,Docattach
"Wednesday, November 2, 2016",AT10282710,Docattach
"Wednesday, November 2, 2016",AT10283770,Docattach
"Wednesday, November 2, 2016",AT10284780,Docattach
"Wednesday, November 2, 2016",AT10280380,Docattach
"Wednesday, November 2, 2016",AT10269830,Docattach
"Wednesday, November 2, 2016",AT10274500,Docattach
"Wednesday, November 2, 2016",AT10276850,Docattach
"Friday, November 4, 2016",AT10269910,Docattach
"Friday, November 4, 2016",AT10280590,Docattach
"Friday, November 4, 2016",AT10260240,Docattach
"Friday, November 4, 2016",AT10263420,Docattach
"Friday, November 4, 2016",AT10247510,Docattach
"Friday, November 4, 2016",AT10273640,Docattach
"Friday, November 4, 2016",AT10270500,Docattach
"Friday, November 4, 2016",AT10266260,Docattach
"Friday, November 4, 2016",AT10261130,Docattach
"Friday, November 4, 2016",AT10256960,Docattach
"Friday, November 4, 2016",AT10257680,Docattach
"Monday, November 7, 2016",AT10272480,Docattach
"Monday, November 7, 2016",AT10269800,Docattach
"Monday, November 7, 2016",AT10267830,Docattach
"Monday, November 7, 2016",AT10280070,Docattach
"Monday, November 7, 2016",AT10194310,Docattach
"Monday, November 7, 2016",AT10281720,Docattach
"Monday, November 7, 2016",AT10291560,Docattach
"Monday, November 7, 2016",AT10291680,Docattach
"Wednesday, November 9, 2016",AT10248300,Docattach
"Wednesday, November 9, 2016",AT10276420,Docattach
"Wednesday, November 9, 2016",AT10254840,Docattach
"Wednesday, November 9, 2016",AT10252900,Docattach
"Wednesday, November 9, 2016",AT10271870,Docattach
"Wednesday, November 9, 2016",AT10242970,Docattach
"Wednesday, November 9, 2016",AT10279940,Docattach
"Wednesday, November 9, 2016",AT10268140,Docattach
"Wednesday, November 9, 2016",AT10284880,Docattach
"Thursday, November 10, 2016",AT10247760,Docattach
"Thursday, November 10, 2016",AT10255420,Docattach
"Thursday, November 10, 2016",AT10280100,Docattach
"Friday, November 11, 2016",AT10255420,Docattach
"Friday, November 11, 2016",AT10262290,Docattach
"Friday, November 11, 2016",AT10243390,Docattach
"Friday, November 11, 2016",AT10284920,Docattach
"Friday, November 11, 2016",AT10255340,Docattach
"Friday, November 11, 2016",AT10262450,Docattach
"Friday, November 11, 2016",AT10248290,Docattach
"Friday, November 11, 2016",AT10279280,Docattach
"Monday, November 14, 2016",AT10287600,Docattach
"Monday, November 14, 2016",AT10290120,Docattach
"Monday, November 14, 2016",AT10245270,Docattach
"Monday, November 14, 2016",AT10288530,Docattach
"Monday, November 14, 2016",AT10284450,Docattach
"Monday, November 14, 2016",AT10284600,Docattach
"Monday, November 14, 2016",AT10284140,Docattach
"Monday, November 14, 2016",AT10280400,Docattach
"Monday, November 14, 2016",AT10289140,Docattach
"Wednesday, November 16, 2016",AT10280910,Docattach
"Wednesday, November 16, 2016",AT10270920,Docattach
"Wednesday, November 16, 2016",AT10266230,Docattach
"Wednesday, November 16, 2016",AT10266020,Docattach
"Wednesday, November 16, 2016",AT10287960,Docattach
"Thursday, November 17, 2016",AT10280310,Docattach
"Thursday, November 17, 2016",AT10259870,Docattach
"Thursday, November 17, 2016",AT10281260,Docattach
"Thursday, November 17, 2016",AT10278410,Docattach
"Thursday, November 17, 2016",AT10282920,Docattach
"Friday, November 18, 2016",AT10283300,Docattach
"Friday, November 18, 2016",AT10276520,Docattach
"Friday, November 18, 2016",AT10279400,Docattach
"Friday, November 18, 2016",AT10279940,Docattach
"Friday, November 18, 2016",AT10281090,Docattach
"Monday, November 21, 2016",AT10240370,Docattach
"Monday, November 21, 2016",AT10277950,Docattach
"Monday, November 21, 2016",AT10248780,Docattach
"Monday, November 21, 2016",AT10283790,Docattach
"Monday, November 21, 2016",AT10283780,Docattach
"Monday, November 21, 2016",AT10291240,Docattach
"Monday, November 21, 2016",AT10267740,Docattach
"Tuesday, November 22, 2016",AT10286170,Docattach
"Tuesday, November 22, 2016",AT10270660,Docattach
"Tuesday, November 22, 2016",AT10279750,Docattach
"Tuesday, November 22, 2016",AT70004630,Docattach
"Tuesday, November 22, 2016",AT10286170,Docattach
"Monday, November 28, 2016",AT10276600,Docattach
"Monday, November 28, 2016",AT10289020,Docattach
"Monday, November 28, 2016",AT10289390,Docattach
"Monday, November 28, 2016",AT10283380,Docattach
"Monday, November 28, 2016",AT10281580,Docattach
"Monday, November 28, 2016",AT10290130,Docattach
"Monday, November 28, 2016",AT70005130,Docattach
"Monday, November 28, 2016",AT10289390,Docattach
"Tuesday, November 29, 2016",AT10281800,Docattach
"Tuesday, November 29, 2016",AT10288140,Docattach
"Tuesday, November 29, 2016",AT10275450,Docattach
"Tuesday, November 29, 2016",AT10280470,Docattach
"Tuesday, November 29, 2016",AT10279090,Docattach
"Tuesday, November 29, 2016",AT10281390,Docattach
"Tuesday, November 29, 2016",AT10300200,Docattach
"Tuesday, November 29, 2016",AT10275960,Docattach
"Thursday, December 1, 2016",AT10287930,Docattach
"Thursday, December 1, 2016",AT10294520,Docattach
"Thursday, December 1, 2016",AT10288420,Docattach
"Thursday, December 1, 2016",AT10292630,Docattach
"Thursday, December 1, 2016",AT10294050,Docattach
"Friday, December 2, 2016",AT10296130,Docattach
"Friday, December 2, 2016",AT10274340,Docattach
"Friday, December 2, 2016",AT10285370,Docattach
"Friday, December 2, 2016",AT10277900,Docattach
"Friday, December 2, 2016",AT70004690,Docattach
"Friday, December 2, 2016",AT10288700,Docattach
"Friday, December 2, 2016",AT10289040,Docattach
"Friday, December 2, 2016",AT10289510,Docattach
"Friday, December 2, 2016",AT10290060,Docattach
"Monday, December 5, 2016",AT10301620,Docattach
"Monday, December 5, 2016",AT10261410,Docattach
"Monday, December 5, 2016",AT10261430,Docattach
"Monday, December 5, 2016",AT10286090,Docattach
"Monday, December 5, 2016",AT10302190,Docattach
"Tuesday, December 6, 2016",AT10302190,Docattach
"Tuesday, December 6, 2016",AT10290010,Docattach
"Tuesday, December 6, 2016",AT70004670,Docattach
"Tuesday, December 6, 2016",AT10302010,Docattach
"Tuesday, December 6, 2016",AT10293540,Docattach
"Tuesday, December 6, 2016",AT10285660,Docattach
"Tuesday, December 6, 2016",AT10296410,Docattach
"Tuesday, December 6, 2016",AU10002230,Docattach
"Tuesday, December 6, 2016",AT10296130,Docattach
"Tuesday, December 6, 2016",AT10281480,Docattach
"Tuesday, December 6, 2016",AT10293830,Docattach
"Tuesday, December 6, 2016",AT10293900,Docattach
"Tuesday, December 6, 2016",AT10270500,Docattach
"Tuesday, December 6, 2016",AT10286800,Docattach
"Tuesday, December 6, 2016",AT10297780,Docattach
"Wednesday, December 7, 2016",AT10275600,Docattach
"Wednesday, December 7, 2016",AT10263480,Docattach
"Wednesday, December 7, 2016",AT10290030,Docattach
"Wednesday, December 7, 2016",AT10296250,Docattach
"Wednesday, December 7, 2016",AT10289020,Docattach
"Wednesday, December 7, 2016",AT10293330,Docattach
"Wednesday, December 7, 2016",AT10269670,Docattach
"Wednesday, December 7, 2016",AT10286410,Docattach
"Thursday, December 8, 2016",AT10299090,Docattach
"Thursday, December 8, 2016",AU10002230,Docattach
"Thursday, December 8, 2016",AT10278720,Docattach
"Thursday, December 8, 2016",AT10277780,Docattach
"Thursday, December 8, 2016",AT10279800,Docattach
"Friday, December 9, 2016",AT10299090,Docattach
"Friday, December 9, 2016",AT10277780,Docattach
"Friday, December 9, 2016",AT10275440,Docattach
"Friday, December 9, 2016",AT10287170,Docattach
