DATE,POLICY,DETAILS
"Wednesday, January 7, 2015",VF52800970,Return TIA
"Thursday, January 8, 2015",VF52804070,Return TIA
"Thursday, January 8, 2015",VF52805810,Return TIA
"Thursday, January 8, 2015",VF52805820,Return TIA
"Thursday, January 8, 2015",VF52806120,Return TIA
"Thursday, January 8, 2015",VF52784270,Return TIA
"Friday, January 9, 2015",VF52804060,Return TIA
"Friday, January 9, 2015",VF52798540,Decline
"Friday, January 9, 2015",VF52802930,Decline
"Monday, January 12, 2015",VF52807650,Return TIA
"Monday, January 12, 2015",VF52779830,Return TIA
"Monday, January 12, 2015",VF52796330,Return TIA
"Monday, January 12, 2015",VF52783120,Return TIA
"Monday, January 12, 2015",VF52786950,Return TIA
"Monday, January 12, 2015",VF52803310,Return TIA
"Monday, January 12, 2015",VF52807550,Decline
"Wednesday, January 14, 2015",VF52799490,Decline
"Wednesday, January 14, 2015",VF52803700,Decline
"Wednesday, January 14, 2015",VF52807520,Decline
"Wednesday, January 14, 2015",VF52800280,Decline
"Wednesday, January 14, 2015",VF52773960,Decline
"Wednesday, January 14, 2015",VF52775510,Decline
"Thursday, January 15, 2015",VF52814430,Return TIA
"Friday, January 16, 2015",VF52788510,Return TIA
"Friday, January 16, 2015",VF52778530,Return TIA
"Friday, January 16, 2015",VF52779950,Return TIA
"Tuesday, January 20, 2015",VF52777470,Return TIA
"Tuesday, January 20, 2015",VF52790140,Return TIA
"Tuesday, January 20, 2015",VF52786940,Return TIA
"Tuesday, January 20, 2015",VF52795340,Decline
"Tuesday, January 20, 2015",VF52798810,Decline
"Tuesday, January 20, 2015",VF52813890,Decline
"Wednesday, January 21, 2015",VF52789200,Return TIA
"Wednesday, January 21, 2015",VF52777920,Return TIA
"Wednesday, January 21, 2015",VF52787250,Return TIA
"Wednesday, January 21, 2015",VF52787130,Return TIA
"Thursday, January 22, 2015",VF52810910,Return TIA
"Thursday, January 22, 2015",VF52790420,Return TIA
"Thursday, January 22, 2015",VF52806960,Return TIA
"Thursday, January 22, 2015",VF52795270,Return TIA
"Friday, January 23, 2015",VF52789380,Return TIA
"Friday, January 23, 2015",VF52789010,Return TIA
"Friday, January 23, 2015",VF52796300,Return TIA
"Friday, January 23, 2015",VF52787560,Return TIA
"Friday, January 23, 2015",VF52787410,Return TIA
"Friday, January 23, 2015",VF52812730,Return TIA
"Friday, January 23, 2015",VF52787190,Return TIA
"Friday, January 23, 2015",VF52787160,Return TIA
"Monday, January 26, 2015",VF52789130,Return TIA
"Monday, January 26, 2015",VF52787850,Return TIA
"Tuesday, January 27, 2015",VF52789070,Return TIA
"Tuesday, January 27, 2015",VF52813170,Return TIA
"Tuesday, January 27, 2015",VF52789400,Return TIA
"Tuesday, January 27, 2015",VF52788840,Return TIA
"Tuesday, January 27, 2015",VF52799530,Decline
